Date,Location,AQI
2017-01-04,板橋,28.0
2017-01-04,竹東,65.0
2017-01-04,南投,123.0
2017-01-04,善化,125.0
2017-01-04,潮州,121.0
2017-01-04,中山,34.0
2017-01-04,土城,31.0
2017-01-04,苗栗,54.0
2017-01-04,竹山,142.0
2017-01-04,楠梓,147.0
2017-01-04,恆春,40.0
2017-01-04,松山,31.0
2017-01-04,新店,33.0
2017-01-04,三義,67.0
2017-01-04,崙背,105.0
2017-01-04,左營,149.0
2017-01-04,宜蘭,31.0
2017-01-04,萬華,30.0
2017-01-04,萬里,35.0
2017-01-04,西屯,78.0
2017-01-04,斗六,103.0
2017-01-04,前金,141.0
2017-01-04,冬山,33.0
2017-01-04,古亭,33.0
2017-01-04,桃園,36.0
2017-01-04,忠明,85.0
2017-01-04,嘉義,135.0
2017-01-04,小港,154.0
2017-01-04,花蓮,34.0
2017-01-04,淡水,30.0
2017-01-04,大園,43.0
2017-01-04,豐原,76.0
2017-01-04,新港,106.0
2017-01-04,美濃,120.0
2017-01-04,臺東,25.0
2017-01-04,林口,51.0
2017-01-04,平鎮,44.0
2017-01-04,沙鹿,70.0
2017-01-04,朴子,96.0
2017-01-04,仁武,141.0
2017-01-04,馬祖,114.0
2017-01-04,菜寮,31.0
2017-01-04,龍潭,54.0
2017-01-04,大里,97.0
2017-01-04,安南,109.0
2017-01-04,大寮,126.0
2017-01-04,金門,151.0
2017-01-04,汐止,39.0
2017-01-04,新竹,78.0
2017-01-04,彰化,82.0
2017-01-04,臺南,127.0
2017-01-04,林園,87.0
2017-01-04,馬公,80.0
2017-01-05,基隆,80.0
2017-01-05,新莊,114.0
2017-01-05,湖口,108.0
2017-01-05,二林,118.0
2017-01-05,新營,113.0
2017-01-05,屏東,108.0
2017-01-05,士林,90.0
2017-01-05,板橋,121.0
2017-01-05,竹東,114.0
2017-01-05,南投,143.0
2017-01-05,善化,103.0
2017-01-05,潮州,97.0
2017-01-05,中山,92.0
2017-01-05,土城,112.0
2017-01-05,苗栗,123.0
2017-01-05,竹山,140.0
2017-01-05,楠梓,132.0
2017-01-05,恆春,42.0
2017-01-05,松山,90.0
2017-01-05,新店,105.0
2017-01-05,三義,120.0
2017-01-05,崙背,153.0
2017-01-05,左營,122.0
2017-01-05,宜蘭,35.0
2017-01-05,萬華,105.0
2017-01-05,萬里,93.0
2017-01-05,西屯,148.0
2017-01-05,斗六,128.0
2017-01-05,前金,127.0
2017-01-05,冬山,44.0
2017-01-05,古亭,119.0
2017-01-05,桃園,119.0
2017-01-05,忠明,153.0
2017-01-05,嘉義,136.0
2017-01-05,小港,137.0
2017-01-05,花蓮,33.0
2017-01-05,淡水,106.0
2017-01-05,大園,120.0
2017-01-05,豐原,145.0
2017-01-05,新港,114.0
2017-01-05,美濃,100.0
2017-01-05,臺東,28.0
2017-01-05,林口,134.0
2017-01-05,平鎮,105.0
2017-01-05,沙鹿,148.0
2017-01-05,朴子,90.0
2017-01-05,仁武,115.0
2017-01-05,馬祖,91.0
2017-01-05,菜寮,123.0
2017-01-05,龍潭,102.0
2017-01-05,大里,152.0
2017-01-05,安南,104.0
2017-01-05,大寮,113.0
2017-01-05,金門,157.0
2017-01-05,汐止,110.0
2017-01-05,新竹,130.0
2017-01-05,彰化,158.0
2017-01-05,臺南,120.0
2017-01-05,林園,90.0
2017-01-05,馬公,72.0
2017-01-06,基隆,77.0
2017-01-06,新莊,98.0
2017-01-06,湖口,78.0
2017-01-06,二林,96.0
2017-01-06,新營,154.0
2017-01-06,屏東,145.0
2017-01-06,士林,85.0
2017-01-06,板橋,104.0
2017-01-06,竹東,114.0
2017-01-06,南投,153.0
2017-01-06,善化,140.0
2017-01-06,潮州,113.0
2017-01-06,中山,92.0
2017-01-06,土城,110.0
2017-01-06,苗栗,109.0
2017-01-06,竹山,146.0
2017-01-06,楠梓,135.0
2017-01-06,恆春,42.0
2017-01-06,松山,98.0
2017-01-06,新店,112.0
2017-01-06,三義,79.0
2017-01-06,崙背,152.0
2017-01-06,左營,152.0
2017-01-06,宜蘭,65.0
2017-01-06,萬華,102.0
2017-01-06,萬里,72.0
2017-01-06,西屯,124.0
2017-01-06,斗六,156.0
2017-01-06,前金,64.0
2017-01-06,冬山,78.0
2017-01-06,古亭,118.0
2017-01-06,桃園,100.0
2017-01-06,忠明,136.0
2017-01-06,嘉義,161.0
2017-01-06,小港,151.0
2017-01-06,花蓮,45.0
2017-01-06,淡水,89.0
2017-01-06,大園,82.0
2017-01-06,豐原,101.0
