Serial,Precipitation(mm)
20180327,0.5
20180328,0
20180329,0
20180330,5.0
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,0.5
20180407,0.6
20180408,0
20180409,0
20180410,0
20180411,0
20180412,0
20180413,0
20180414,1.6
20180415,1.6
20180416,0.5
20180417,11.2
20180418,0
20180419,0
20180420,0.2
20180421,0
20180422,0
20180423,0.9
20180424,5.5
20180425,0
20180426,0
20180427,2.5
20180428,0
20180429,0.7
20180430,0
20180501,0
20180502,0.4
20180503,1.6
20180504,0
20180505,0
20180506,0
20180507,0
20180508,13.5
20180509,2.8
20180510,0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0.2
20180521,0.3
20180522,0
20180523,2.1
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,0
20180530,0
20180531,12.2
20180601,5.2
20180602,0
20180603,0
20180604,0.5
20180605,5.6
20180606,107.0
20180607,29.0
20180608,10.7
20180609,0
20180610,6.5
20180611,6.5
20180612,0
20180613,0
20180614,44.5
20180615,13.1
20180616,0
20180617,0
20180618,4.0
20180619,0.5
20180620,1.1
20180621,3.9
20180622,6.0
20180623,1.2
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0
20180630,0
20180701,0
20180702,0
20180703,0
20180704,0
20180705,0
20180706,0
20180707,0
20180708,0
20180709,0
20180710,29.4
20180711,34.3
20180712,0.3
20180713,0
20180714,0
20180715,0
20180716,13.0
20180717,8.1
20180718,0
20180719,4.8
20180720,0.5
20180721,1.0
20180722,0
20180723,0
20180724,0
20180725,0
20180726,0
20180727,0.2
20180728,0
20180729,0
20180730,0
20180731,0
20180801,3.0
20180802,0
20180803,3.0
20180804,0
20180805,0
20180806,0
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0
20180812,0
20180813,22.5
20180814,6.2
20180815,49.8
20180816,0
20180817,0
20180818,42.0
20180819,0
20180820,0
20180821,0
20180822,0
20180823,0.3
20180824,1.2
20180825,0
20180826,0
20180827,1.3
20180828,0
20180829,0
20180830,15.0
20180831,0.8
20180901,0
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,34.5
20180909,28.4
20180910,37.0
20180911,0
20180912,0
20180913,0
20180914,4.5
20180915,12.4
20180916,8.1
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,6.5
20180923,2.6
20180924,7.8
20180925,3.6
20180926,1.5
20180927,5.1
20180928,13.0
20180929,0
20180930,0
20181001,3.0
20181002,0
20181003,0
20181004,0.1
20181005,0.1
20181006,7.3
20181007,10.3
20181008,175.5
20181009,61.3
20181010,57.3
20181011,18.9
20181012,38.5
20181013,41.0
20181014,11.4
20181015,0.1
20181016,0.5
20181017,18.3
20181018,5.6
20181019,13.3
20181020,0.5
20181021,0
20181022,1.0
20181023,0.1
20181024,0
20181025,0
20181026,0.6
20181027,0.6
20181028,0
20181029,0
20181030,23.8
20181031,46.0
20181101,76.7
20181102,170.6
20181103,24.9
20181104,0
20181105,56.0
20181106,16.3
20181107,0.1
20181108,0
20181109,22.5
20181110,32.8
20181111,0
20181112,0
20181113,0.1
20181114,2.0
20181115,0
20181116,0
20181117,13.1
20181118,0.3
20181119,0.9
20181120,0.7
20181121,0
20181122,4.2
20181123,5.6
20181124,8.0
20181125,0.3
20181126,0.9
20181127,0.2
20181128,0.5
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,6.9
20181206,1.7
20181207,3.0
20181208,40.5
20181209,13.3
20181210,2.5
20181211,0
20181212,0
20181213,14.0
20181214,43.5
20181215,45.5
20181216,0
20181217,0
20181218,0
20181219,0
20181220,0
20181221,0
20181222,0
20181223,19.5
20181224,7.2
20181225,3.7
20181226,0
20181227,4.5
20181228,2.5
20181229,3.1
20181230,56.5
20181231,38.8
20190101,111.5
20190102,149.5
20190103,62.8
20190104,6.7
20190105,0
20190106,19.1
20190107,7.5
20190108,1.7
20190109,46.6
20190110,0.6
20190111,2.0
20190112,0
20190113,0.5
20190114,2.7
20190115,1.6
20190116,13.5
20190117,0.8
20190118,0
20190119,0
20190120,7.1
20190121,9.0
20190122,0
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0
20190128,0.5
20190129,3.7
20190130,0
20190131,0
20190201,0.2
20190202,0
20190203,0
20190204,1.6
20190205,0
20190206,0
20190207,6.0
20190208,0
20190209,0
20190210,0
20190211,0.4
20190212,3.0
20190213,0
20190214,0
20190215,0
20190216,0
20190217,4.8
20190218,7.3
20190219,0
20190220,3.1
20190221,0
20190222,0
20190223,0
20190224,29.9
20190225,0
20190226,0
20190227,0
20190228,0
20190301,0
20190302,0
20190303,1.1
20190304,0
20190305,0.3
20190306,3.2
20190307,39.6
20190308,21.2
20190309,22.9
20190310,2.5
20190311,0
20190312,0
20190313,3.0
20190314,0
20190315,2.3
20190316,0
20190317,1.1
20190318,1.1
20190319,0
20190320,0
20190321,0
20190322,0.4
20190323,1.0
20190324,7.6
20190325,2.0
20190326,0.7
20190327,0
20190328,0
20190329,10.5
20190330,5.0
20190331,7.0
20190401,17.2
20190402,0.3
20190403,0
20190404,0
20190405,0
20190406,0
20190407,0
20190408,0
20190409,0
20190410,2.3
20190411,8.0
20190412,0
20190413,18.6
20190414,17.0
20190415,1.8
20190416,10.2
20190417,0
20190418,0
20190419,2.0
20190420,1.8
20190421,18.5
20190422,0.1
20190423,0
20190424,0
20190425,0
20190426,0
20190427,55.0
20190428,15.0
20190429,0
20190430,12.5
20190501,20.2
20190502,38.6
20190503,2.1
20190504,0.5
20190505,2.6
20190506,31.7
20190507,24.0
20190508,0
20190509,22.1
20190510,18.5
20190511,3.5
20190512,46.5
20190513,3.0
20190514,0
20190515,15.1
20190516,0
20190517,40.5
20190518,41.0
20190519,0
20190520,17.5
20190521,0
20190522,0
20190523,3.7
20190524,2.0
20190525,0
20190526,0
20190527,3.6
20190528,6.5
20190529,0
20190530,0
20190531,17.0
20190601,24.5
20190602,0
20190603,0
20190604,2.5
20190605,0
20190606,0
20190607,1.0
20190608,0
20190609,0
20190610,4.3
20190611,51.6
20190612,27.0
20190613,7.1
20190614,18.1
20190615,0
20190616,0
20190617,7.0
20190618,6.5
20190619,0
20190620,0
20190621,0
20190622,0
20190623,7.8
20190624,12.5
20190625,10.5
20190626,0.1
20190627,0.3
20190628,0
20190629,0
20190630,0
20190701,0.1
20190702,19.5
20190703,0
20190704,0
20190705,0
20190706,0
20190707,1.0
20190708,0
20190709,0
20190710,0
20190711,10.9
20190712,0
20190713,0
20190714,0
20190715,0
20190716,0
20190717,9.1
20190718,6.0
20190719,1.5
20190720,1.0
20190721,0
20190722,11.8
20190723,1.2
20190724,2.0
20190725,3.0
20190726,0
20190727,0
20190728,0
20190729,0
20190730,0
20190731,0
20190801,0
20190802,0
20190803,0
20190804,10.4
20190805,20.5
20190806,5.5
20190807,7.6
20190808,58.0
20190809,21.5
20190810,1.3
20190811,0
20190812,1.0
20190813,10.0
20190814,0
20190815,0.7
20190816,1.0
20190817,7.1
20190818,32.5
20190819,8.4
20190820,1.9
20190821,0
20190822,0
20190823,11.8
20190824,17.8
20190825,1.0
20190826,0
20190827,0
20190828,0
20190829,0
20190830,0
20190831,0
20190901,0
20190902,0
20190903,2.5
20190904,29.0
20190905,26.5
20190906,3.1
20190907,12.0
20190908,66.5
20190909,0
20190910,0
20190911,0.5
20190912,0.4
20190913,0.2
20190914,0
20190915,1.3
20190916,0.1
20190917,0.6
20190918,1.3
20190919,0
20190920,0.5
20190921,2.5
20190922,0
20190923,0
20190924,0.5
20190925,0
20190926,19.2
20190927,67.5
20190928,71.0
20190929,137.9
20190930,71.5
20191001,2.1
20191002,0
20191003,0
20191004,0
20191005,0
20191006,17.0
20191007,4.5
20191008,7.8
20191009,45.5
20191010,0
20191011,0
20191012,0
20191013,0
20191014,0.2
20191015,1.1
20191016,0.7
20191017,0
20191018,0
20191019,1.4
20191020,0
20191021,0
20191022,0
20191023,0
20191024,0
20191025,0
20191026,0.8
20191027,5.7
20191028,0.2
20191029,1.5
20191030,32.4
20191031,107.8
20191101,2.6
20191102,0
20191103,0.9
20191104,0
20191105,13.0
20191106,0.1
20191107,0
20191108,0.2
20191109,0
20191110,0
20191111,0
20191112,0
20191113,0
20191114,1.7
20191115,0
20191116,0
20191117,0
20191118,11.5
20191119,8.4
20191120,51.5
20191121,19.4
20191122,1.4
20191123,0
20191124,0
20191125,0.2
20191126,7.6
20191127,10.1
20191128,0.9
20191129,0
20191130,6.6
20191201,0
20191202,0
20191203,0
20191204,2.5
20191205,30.8
20191206,56.1
20191207,6.4
20191208,0
20191209,0
20191210,0
20191211,0
20191212,0
20191213,0.4
20191214,2.5
20191215,0.2
20191216,0
20191217,0
20191218,12.8
20191219,1.5
20191220,18.6
20191221,0.1
20191222,0
20191223,0
20191224,0
20191225,0
20191226,0.3
20191227,0.4
20191228,1.0
20191229,16.8
20191230,8.9
20191231,3.3
20200101,1.0
20200102,0
20200103,0
20200104,0
20200105,1.5
20200106,0
20200107,0
20200108,0
20200109,0
20200110,0
20200111,0
20200112,0
20200113,0.5
20200114,0
20200115,0.9
20200116,0
20200117,0
20200118,0
20200119,0
20200120,0
20200121,0
20200122,0
20200123,0
20200124,20.0
20200125,0
20200126,8.0
20200127,0
20200128,0
20200129,0
20200130,0
20200131,0
20200201,0
20200202,0
20200203,1.8
20200204,1.0
20200205,5.9
20200206,2.5
20200207,0
20200208,0
20200209,0
20200210,0
20200211,0
20200212,0
20200213,0
20200214,0
20200215,0
20200216,1.1
20200217,0
20200218,0
20200219,0
20200220,1.6
20200221,0
20200222,5.5
20200223,7.2
20200224,4.2
20200225,0
20200226,0
20200227,6.2
20200228,3.0
20200229,0
20200301,0
20200302,0
20200303,0
20200304,0
20200305,14.1
20200306,0.5
20200307,0
20200308,9.0
20200309,0
20200310,12.6
20200311,0
20200312,0
20200313,1.6
20200314,1.9
20200315,0
20200316,0
20200317,0
20200318,0.1
20200319,4.0
20200320,0
20200321,0
20200322,0
20200323,0.4
20200324,1.7
20200325,0.7
20200326,0
20200327,13.0
20200328,5.8
20200329,0
20200330,0
20200331,3.3
20200401,0
20200402,5.0
20200403,6.3
20200404,0.1
20200405,2.4
20200406,7.0
20200407,2.4
20200408,0
20200409,0
20200410,0
20200411,2.5
20200412,0.4
20200413,0
20200414,0
20200415,0
20200416,0
20200417,0
20200418,0
20200419,0
20200420,2.6
20200421,0
20200422,5.0
20200423,41.6
20200424,37.1
20200425,0
20200426,0
20200427,1.0
20200428,10.8
20200429,0
20200430,0
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,2.9
20200508,0
20200509,0
20200510,0
20200511,19.5
20200512,16.0
20200513,0
20200514,0
20200515,0
20200516,19.5
20200517,0.6
20200518,2.0
20200519,1.2
20200520,12.0
20200521,106.4
20200522,37.5
20200523,6.5
20200524,3.8
20200525,23.2
20200526,11.0
20200527,3.5
20200528,31.2
20200529,45.5
20200530,0
20200531,0
20200601,47.5
20200602,0
20200603,0
20200604,0
20200605,0
20200606,1.0
20200607,56.4
20200608,5.6
20200609,1.5
20200610,0
20200611,0.5
20200612,0
20200613,0
20200614,0
20200615,1.5
20200616,0
20200617,0
20200618,0
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,2.0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,5.5
20200702,10.5
20200703,0.5
20200704,0
20200705,2.0
20200706,0
20200707,1.5
20200708,6.5
20200709,0
20200710,0
20200711,0
20200712,0
20200713,0
20200714,0
20200715,0.5
20200716,16.5
20200717,1.0
20200718,0
20200719,0
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,5.0
20200726,0
20200727,6.0
20200728,0
20200729,0
20200730,0.5
20200731,0
20200801,0
20200802,0
20200803,5.0
20200804,4.0
20200805,0
20200806,0
20200807,0
20200808,0
20200809,0
20200810,2.0
20200811,0
20200812,0
20200813,0
20200814,0
20200815,0
20200816,0
20200817,0
20200818,2.0
20200819,0
20200820,0
20200821,3.0
20200822,62.5
20200823,0
20200824,0
20200825,0
20200826,2.0
20200827,106.5
20200828,0
20200829,0
20200830,0
20200831,7.5
20200901,3.5
20200902,0.5
20200903,0
20200904,0
20200905,0
20200906,0
20200907,0
20200908,0
20200909,56.0
20200910,0
20200911,0.5
20200912,75.5
20200913,0.5
20200914,0
20200915,0
20200916,0
20200917,0
20200918,0
20200919,2.0
20200920,5.0
20200921,0.5
20200922,0
20200923,0
20200924,0
20200925,0
20200926,0.5
20200927,8.5
20200928,15.0
20200929,0.5
20200930,0
20201001,0
20201002,0
20201003,1.0
20201004,0
20201005,1.0
20201006,0
20201007,0
20201008,0
20201009,1.0
20201010,0.5
20201011,66.0
20201012,9.0
20201013,174.5
20201014,33.5
20201015,26.5
20201016,128.0
20201017,3.0
20201018,35.0
20201019,3.5
20201020,20.5
20201021,86.5
20201022,8.5
20201023,19.5
20201024,1.0
20201025,0
20201026,0
20201027,1.0
20201028,1.0
20201029,0
20201030,0
20201031,0.5
20201101,2.5
20201102,0
20201103,3.0
20201104,1.5
20201105,3.0
20201106,4.5
20201107,0
20201108,11.0
20201109,1.5
20201110,10.5
20201111,6.0
20201112,79.0
20201113,99.0
20201114,25.5
20201115,0
20201116,7.5
20201117,1.5
20201118,0
20201119,0
20201120,1.0
20201121,32.5
20201122,0
20201123,25.5
20201124,19.0
20201125,2.5
20201126,0
20201127,7.0
20201128,21.0
20201129,24.5
20201130,94.5
20201201,73.0
20201202,2.5
20201203,3.0
20201204,17.5
20201205,13.5
20201206,81.0
20201207,27.0
20201208,9.0
20201209,27.0
20201210,12.0
20201211,11.0
20201212,1.5
20201213,0.5
20201214,28.5
20201215,23.5
20201216,53.0
20201217,41.0
20201218,9.5
20201219,4.5
20201220,14.5
20201221,69.0
20201222,23.5
20201223,7.0
20201224,0.5
20201225,7.0
20201226,0
20201227,0
20201228,2.0
20201229,0
20201230,0.5
20201231,0
20210101,0
20210102,0.5
20210103,0
20210104,0.5
20210105,0.5
20210106,18.5
20210107,2.5
20210108,2.5
20210109,0
20210110,2.5
20210111,8.5
20210112,0
20210113,0
20210114,0
20210115,0
20210116,3.0
20210117,0.5
20210118,0
20210119,0
20210120,0.5
20210121,0
20210122,4.5
20210123,0
20210124,0.5
20210125,0
20210126,0.5
20210127,0.5
20210128,0
20210129,0
20210130,0
20210131,0
20210201,0
20210202,1.0
20210203,0
20210204,0
20210205,0
20210206,0
20210207,0
20210208,10.5
20210209,34.0
20210210,3.0
20210211,6.5
20210212,6.5
20210213,6.5
20210214,0
20210215,0
20210216,0
20210217,1.5
20210218,0
20210219,0
20210220,0
20210221,0
20210222,0
20210223,0
20210224,0
20210225,0
20210226,0
20210227,0
20210228,0
20210301,0
20210302,8.0
20210303,0
20210304,0
20210305,0
20210306,5.0
20210307,8.0
20210308,0
20210309,0
20210310,8.5
20210311,0
20210312,0
20210313,0
20210314,0
20210315,0
20210316,0
20210317,0
20210318,0
20210319,0
20210320,0
20210321,1.0
20210322,4.5
20210323,0
20210324,0
20210325,0
20210326,0
20210327,0
20210328,0
20210329,0
20210330,1.0
20210331,1.0
20210401,0
20210402,0
20210403,0
20210404,1.5
20210405,0
20210406,0
20210407,0
20210408,1.0
20210409,0
20210410,0
20210411,0
20210412,0
20210413,1.5
20210414,4.5
20210415,0
20210416,0
20210417,0
20210418,0
20210419,0
20210420,0
20210421,8.5
20210422,16.5
20210423,2.0
20210424,1.0
20210425,6.5
20210426,0.5
20210427,0.5
20210428,15.5
20210429,12.5
20210430,0
20210501,0
20210502,0
20210503,0.5
20210504,0.5
20210505,0
20210506,0
20210507,0
20210508,3.0
20210509,0
20210510,0
20210511,0
20210512,17.5
20210513,0
20210514,0
20210515,0
20210516,0
20210517,0
20210518,0
20210519,1.0
20210520,0
20210521,2.5
20210522,0
20210523,0
20210524,7.5
20210525,10.0
20210526,0
20210527,0
20210528,0
20210529,0
20210530,87.0
20210531,34.5
20210601,36.0
20210602,3.0
20210603,0
20210604,28.0
20210605,14.5
20210606,12.0
20210607,1.0
20210608,0
20210609,0
20210610,0
20210611,0
20210612,0
20210613,0
20210614,0
20210615,0
20210616,0
20210617,0
20210618,0
20210619,0
20210620,0
20210621,0
20210622,63.5
20210623,22.0
20210624,8.5
20210625,0
20210626,4.5
20210627,5.0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,0
20210704,0
20210705,0.5
20210706,2.0
20210707,0
20210708,0
20210709,0
20210710,0
20210711,0
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,0
20210718,0
20210719,1.5
20210720,2.5
20210721,18.5
20210722,33.5
20210723,62.5
20210724,50.0
20210725,0
20210726,0
20210727,0
20210728,0
20210729,0
20210730,2.0
20210731,24.5
20210801,0.5
20210802,0
20210803,49.5
20210804,12.0
20210805,0
20210806,6.0
20210807,30.5
20210808,1.5
20210809,0
20210810,0
20210811,0
20210812,0
20210813,0
20210814,0
20210815,0
20210816,0
20210817,3.5
20210818,8.5
20210819,0
20210820,0
20210821,0
20210822,0
20210823,0
20210824,0
20210825,0
20210826,0
20210827,0
20210828,0
20210829,0
20210830,4.0
20210831,0
20210901,0
20210902,0
20210903,0
20210904,1.5
20210905,0
20210906,0
20210907,0
20210908,0
20210909,0
20210910,0
20210911,27.5
20210912,69.0
20210913,0
20210914,5.5
20210915,67.0
20210916,0
20210917,23.0
20210918,0.5
20210919,0
20210920,0
20210921,1.0
20210922,0
20210923,0
20210924,4.5
20210925,2.0
20210926,0
20210927,20.5
20210928,0
20210929,0
20210930,0
20211001,48.5
20211002,0
20211003,0
20211004,6.0
20211005,18.0
20211006,5.5
20211007,0
20211008,0
20211009,1.5
20211010,1.5
20211011,147.0
20211012,54.5
20211013,62.5
20211014,15.0
20211015,1.5
20211016,28.0
20211017,41.0
20211018,1.0
20211019,0
20211020,0
20211021,0
20211022,15.5
20211023,30.5
20211024,11.0
20211025,12.0
20211026,3.5
20211027,2.5
20211028,0
20211029,0.5
20211030,0
20211031,2.0
20211101,1.5
20211102,2.5
20211103,11.5
20211104,9.0
20211105,0
20211106,0
20211107,0
20211108,17.0
20211109,0
20211110,0
20211111,0
20211112,10.5
20211113,24.5
20211114,0
20211115,0
20211116,0.5
20211117,1.0
20211118,0
20211119,1.5
20211120,69.5
20211121,0.5
20211122,0
20211123,0.5
20211124,1.0
20211125,5.0
20211126,65.0
20211127,30.5
20211128,16.5
20211129,3.5
20211130,0
20211201,0
20211202,0
20211203,0
20211204,0
20211205,3.5
20211206,17.5
20211207,11.0
20211208,1.0
20211209,2.0
20211210,2.5
20211211,0
20211212,4.5
20211213,37.5
20211214,6.0
20211215,0.5
20211216,0
20211217,7.5
20211218,0
20211219,0
20211220,0.5
20211221,1.0
20211222,0
20211223,0
20211224,0
20211225,9.0
20211226,3.0
20211227,6.5
20211228,1.5
20211229,0
20211230,0
20211231,0.5
20220101,0
20220102,0
20220103,0
20220104,7.5
20220105,0
20220106,3.5
20220107,6.5
20220108,2.0
20220109,0
20220110,3.0
20220111,0
20220112,0
20220113,0
20220114,0
20220115,0
20220116,0
20220117,12.0
20220118,33.5
20220119,26.0
20220120,39.0
20220121,69.0
20220122,115.0
20220123,0
20220124,1.0
20220125,5.5
20220126,3.5
20220127,0
20220128,14.0
20220129,11.0
20220130,0.5
20220131,0
20220201,6.5
20220202,5.5
20220203,7.0
20220204,1.5
20220205,1.0
20220206,19.5
20220207,0.5
20220208,2.0
20220209,2.0
20220210,6.0
20220211,13.5
20220212,0
20220213,8.0
20220214,11.0
20220215,4.0
20220216,33.0
20220217,62.0
20220218,7.5
20220219,10.5
20220220,22.5
20220221,89.5
20220222,69.0
20220223,22.0
20220224,0.5
20220225,0
20220226,0
20220227,0
20220228,0
20220301,0
20220302,7.0
20220303,7.0
20220304,0
20220305,0
20220306,10.5
20220307,3.0
20220308,0
20220309,0
20220310,0
20220311,0
20220312,0
20220313,0
20220314,0
20220315,0
20220316,0
20220317,0
20220318,0
20220319,9.0
20220320,11.0
20220321,6.5
20220322,0
20220323,10.0
20220324,1.0
20220325,0
20220326,17.0
20220327,17.0
20220328,36.0
20220329,10.0
20220330,0
20220331,0
20220401,0
20220402,16.5
20220403,17.5
20220404,1.0
20220405,0
20220406,7.5
20220407,0
20220408,5.0
20220409,0
20220410,0
20220411,1.0
20220412,0
20220413,0
20220414,0
20220415,0
20220416,0
20220417,0
20220418,0
20220419,2.0
20220420,0.5
20220421,0
20220422,0
20220423,0
20220424,1.0
20220425,0
20220426,0
20220427,0.5
20220428,0
20220429,1.0
20220430,0.5
20220501,1.5
20220502,9.5
20220503,33.0
20220504,18.0
20220505,1.0
20220506,0
20220507,0
20220508,0
20220509,14.0
20220510,6.5
20220511,0.5
20220512,4.5
20220513,2.0
20220514,22.0
20220515,3.0
20220516,25.5
20220517,9.5
20220518,10.5
20220519,25.0
20220520,0
20220521,0
20220522,0
20220523,0
20220524,27.5
20220525,46.5
20220526,22.0
20220527,23.5
20220528,0
20220529,0
20220530,0.5
20220531,36.5
20220601,0
20220602,55.0
20220603,3.5
20220604,4.0
20220605,0
20220606,10.0
20220607,18.5
20220608,13.0
20220609,2.5
20220610,0
20220611,12.0
20220612,13.5
20220613,0
20220614,0
20220615,1.5
20220616,9.0
20220617,0
20220618,0
